Parameter,Range,Step
Crust density (kg/cm3) (ρc),[2.6 3.0],–
Birch law origin (a),[−10.74 −7.41],–
Birch law slope (b),[4.58 5.57],–
 law origin (A),[1.0 2.95],–
 law slope (km−1) (B),[−0.000662 0.0004],–
Core radius (km) (Rcore),[250 490],5

Event name,Lat. (deg),Long. (deg),Depth (km),Δlat. (deg),Δlon. (deg),Δdepth (km),Init. # stat.,# Stat. sel.,Max (s),Std (s)
A01,−17.44,−38.37,917,1.1,0.6,11,4,4,1.82,1.1
A05,−31.04,−44.92,902,3,3,80,2,2,1.34,–
A06,49.7,54.69,860,1,0.7,11,4,4,1.57,0.9
A07,23.97,53.7,900,0.8,0.7,12,4,4,1,0.94
A08,−27.97,−28.08,940,2,1.2,21,1,1,–,–
A09,−37.8,−30.85,975,4,2.6,43,3,2,8.56,–
A10,34.01,−28.04,1139,3,3,80,2,2,0.57,–
A11,9.6,19.49,1233,0.8,0.7,12,3,2,0.73,–
A14,−28.7,−33.94,880,1.7,1.3,22,3,2,4.34,–
A15,−0.94,−2.96,885,3,3,80,3,3,13.39,8.8
A16,6.79,5.14,1105,1.2,0.7,18,3,3,2.26,1.55
A17,23.08,−17.97,861,2.6,0.4,15,3,3,7.51,5.27
A18,18.56,34.72,882,1.8,0.9,24,3,2,3.4,–
A19,15.96,37.91,841,3,3,80,3,2,9.46,–
A20,21.72,−41.01,1055,2.4,0.8,13,3,3,4.32,2.83
A21,−15.8,−43.49,1060,3,3,80,2,1,–,–
A24,−36.85,−38.9,980,2.1,1.7,32,4,3,4.91,2.49
A25,34.4,59.3,898,2,1.7,26,4,4,2.57,2.1
A26,12.19,10.22,1135,1.5,0.7,20,3,2,1.5,–
A27,22.51,18.53,1059,1.9,1.4,14,4,2,3.49,–
A28,32.69,11.64,720,3,3,80,3,1,–,–
A30,11.78,−34.26,921,1.5,1,23,4,4,1.87,2.03
A33,6.89,117.75,887,1.5,1.3,30,3,2,0.46,–
A34,7.04,−9.28,932,1.2,0.6,26,3,3,3.8,2.58
A41,13.9,−26.79,953,5.6,2.2,84,3,1,–,0
A42,22.68,−53.46,1004,1.8,1.4,24,3,2,3.94,–
A44,51.85,57.08,956,5.8,1.9,20,3,3,1.98,0.78

Station name,X azimuth (in deg.),Y azimuth (in deg.)
S12,180,270
S14,0,90
S15,0,90
S16,334.5,64.5

Event name,Lat. (θ) (in °),Long. (ϕ) (in °),Depth (z) (in km),σθ (in °),σϕ (in °),σz (in km),Origin date,Origin time (in s),σto(in s)
12LM,−3.94,−21.20,0.0,0.00,0.00,0.0,6911202217,17.70,0.00
13S4,−2.75,−27.86,0.0,0.00,0.00,0.0,7004150209,41.00,0.00
14S4,−8.09,−26.02,0.0,0.00,0.00,0.0,7102040740,55.40,0.00
14LM,−3.42,−19.67,0.0,0.00,0.00,0.0,7102070045,25.70,0.00
15S4,−1.51,−11.81,0.0,0.00,0.00,0.0,7107292058,42.90,0.00
15LM,26.36,0.25,0.0,0.00,0.00,0.0,7108030303,37.00,0.00
16S4,1.30,−23.80,0.0,0.00,0.00,0.0,7204192102,4.00,0.00
17S4,−4.21,−12.31,0.0,0.00,0.00,0.0,7212102032,42.30,0.00
M1,73.52,2.79,0.0,0.64,2.77,0.0,7201040631,19.80,2.48
M2,1.55,−16.91,0.0,0.19,0.19,0.0,7205130846,39.04,0.56
M3,33.02,137.22,0.0,0.93,1.02,0.0,7207172150,56.66,1.29
M4,23.92,10.08,0.0,0.27,0.52,0.0,7207311808,15.23,1.68
M5,15.69,22.44,0.0,1.35,1.21,0.0,7208292258,33.50,2.85
M6,28.85,40.68,0.0,2.51,1.12,0.0,7309262046,16.32,2.88
M7,−24.60,−24.87,0.0,1.00,1.94,0.0,7312241003,19.38,2.93
M8,7.45,−33.32,0.0,0.65,0.90,0.0,7404191830,3.11,2.75
M9,20.23,6.46,0.0,0.41,0.63,0.0,7407171205,2.54,1.57
M10,−7.28,19.78,0.0,0.85,0.72,0.0,7411211315,40.51,2.45
M11,1.68,−8.15,0.0,0.87,0.39,0.0,7412150907,15.15,1.74
M12,−51.80,4.16,0.0,1.22,2.37,0.0,7503052149,22.25,2.92
M13,2.43,43.31,0.0,0.52,0.97,0.0,7504121812,38.22,2.92
M14,−37.16,−121.04,0.0,1.45,1.20,0.0,7505040959,28.51,2.34
M15,−39.24,62.77,0.0,1.79,1.46,0.0,7601130711,22.96,2.63
M16,−16.62,−9.87,0.0,0.96,0.68,0.0,7605280601,56.29,2.44
M17,23.69,−73.88,0.0,1.02,0.99,0.0,7611142313,6.60,2.38
M18,−20.39,−64.47,0.0,0.72,0.94,0.0,7704172332,6.87,2.44
M19,−13.06,−74.91,0.0,5.66,1.23,0.0,7706282222,31.15,2.86
SH1,12.78,50.78,15.9,1.42,2.69,68.6,7209171435,2.96,7.31
SH2,47.79,38.06,8.8,3.14,3.32,37.5,7212062308,33.52,8.23
SH3,−84.71,−137.13,71.3,0.85,1.48,38.6,7303130756,23.63,4.35
